1 0 1027
2 1027 1083
3 2110 6687
4 8797 2158
5 10955 1929
6 12884 6687
7 19571 6204
8 25775 3625
9 29400 628
10 30028 1835
11 31863 3079
12 34942 1256
13 36198 2299
14 38497 1111
15 39608 3478
16 43086 4110
17 47196 4326
18 51522 6286
19 57808 3753
20 61561 710
21 62271 4275
22 66546 4079
23 70625 535
24 71160 997
25 72157 1582
26 73739 3653
27 77392 3587
28 80979 4802
29 85781 2696
30 88477 2077
31 90554 3129
32 93683 800
33 94483 7180
34 101663 945
35 102608 3146
36 105754 2383
37 108137 2672
38 110809 3404
39 114213 2548
40 116761 4069
41 120830 2040
42 122870 1860
43 124730 4434
44 129164 1421
45 130585 4423
46 135008 3880
47 138888 5679
48 144567 6663
49 151230 4529
50 155759 1799
51 157558 1268
52 158826 2847
53 161673 6442
54 168115 2537
55 170652 3446
56 174098 2711
57 176809 2275
58 179084 10498
59 189582 762
60 190344 9114
61 199458 6812
62 206270 2203
63 208473 2519
64 210992 2389
65 213381 2368
66 215749 1345
67 217094 1134
68 218228 2944
69 221172 10170
70 231342 1275
71 232617 3967
72 236584 1123
73 237707 455
74 238162 10794
75 248956 1834
76 250790 3362
77 254152 3341
78 257493 3581
79 261074 9691
80 270765 2183
81 272948 1110
82 274058 779
83 274837 1053
84 275890 1831
85 277721 8520
86 286241 3454
87 289695 6344
88 296039 4813
89 300852 5609
90 306461 1705
91 308166 5359
92 313525 1690
93 315215 1709
94 316924 6801
95 323725 2783
96 326508 1495
97 328003 2065
98 330068 2579
99 332647 2576
100 335223 3780
101 339003 5664
102 344667 2548
103 347215 8578
104 355793 7401
105 363194 2415
106 365609 1459
107 367068 1639
108 368707 2672
109 371379 2580
110 373959 2251
111 376210 3062
112 379272 2068
113 381340 2986
114 384326 6954
115 391280 6360
116 397640 6892
117 404532 6771
118 411303 3943
119 415246 8124
120 423370 7785
121 431155 3115
122 434270 1798
123 436068 2982
124 439050 1614
125 440664 3024
126 443688 3435
127 447123 1859
128 448982 1526
129 450508 4770
130 455278 1743
131 457021 1517
132 458538 2463
133 461001 3614
134 464615 2062
135 466677 1457
136 468134 2810
137 470944 7816
138 478760 3331
139 482091 3624
140 485715 8873
141 494588 3732
142 498320 2823
143 501143 2200
144 503343 3566
145 506909 3493
146 510402 2069
147 512471 1598
148 514069 1792
149 515861 6358
150 522219 3197
151 525416 2233
152 527649 1858
153 529507 3420
154 532927 5502
155 538429 2003
156 540432 4148
157 544580 2712
158 547292 3755
159 551047 1744
160 552791 1535
161 554326 1544
162 555870 1616
163 557486 3646
164 561132 2731
165 563863 3958
166 567821 2377
167 570198 2391
168 572589 2585
169 575174 2368
170 577542 2530
171 580072 23249
172 603321 3210
173 606531 3612
174 610143 6314
175 616457 3083
176 619540 3291
177 622831 3404
178 626235 5231
179 631466 1606
180 633072 2583
181 635655 3413
182 639068 2444
183 641512 1072
184 642584 2355
185 644939 5075
186 650014 4219
187 654233 3010
188 657243 3769
189 661012 2631
190 663643 5412
191 669055 2519
192 671574 3781
193 675355 1091
194 676446 5306
195 681752 1434
196 683186 1206
197 684392 2036
198 686428 7435
199 693863 3321
200 697184 2529
201 699713 1995
202 701708 3115
203 704823 6318
204 711141 982
205 712123 6639
206 718762 936
207 719698 1146
208 720844 787
209 721631 6311
210 727942 2843
211 730785 5077
212 735862 9068
213 744930 7353
214 752283 1830
215 754113 5489
216 759602 3599
217 763201 1508
218 764709 640
219 765349 3283
220 768632 9169
221 777801 2878
222 780679 2216
223 782895 5713
224 788608 1299
225 789907 4411
226 794318 691
227 795009 2552
228 797561 1537
229 799098 1134
230 800232 2516
231 802748 4360
232 807108 2925
233 810033 5430
234 815463 5864
235 821327 4463
236 825790 2760
237 828550 2066
238 830616 1068
239 831684 806
240 832490 2637
241 835127 5781
242 840908 946
243 841854 1806
244 843660 1733
245 845393 7471
246 852864 1205
247 854069 2225
248 856294 2430
249 858724 1392
250 860116 581
251 860697 5002
252 865699 6120
253 871819 11622
254 883441 1216
255 884657 2341
256 886998 1028
257 888026 1263
258 889289 2181
259 891470 2819
260 894289 5185
261 899474 2439
262 901913 3021
263 904934 20078
264 925012 2847
265 927859 1611
266 929470 2245
267 931715 1762
268 933477 1459
269 934936 7349
270 942285 4601
271 946886 12589
272 959475 2411
273 961886 1821
274 963707 1444
275 965151 3107
276 968258 1377
277 969635 3879
278 973514 1102
279 974616 1129
280 975745 1335
281 977080 2384
282 979464 1958
283 981422 2359
284 983781 3464
285 987245 198
286 987443 969
287 988412 7318
288 995730 5208
289 1000938 6568
290 1007506 4432
291 1011938 3697
292 1015635 2748
293 1018383 30921
294 1049304 3960
295 1053264 5285
296 1058549 2843
297 1061392 1963
298 1063355 4741
299 1068096 1224
300 1069320 2560
301 1071880 414
302 1072294 424
303 1072718 440
304 1073158 484
305 1073642 454
306 1074096 462
307 1074558 486
308 1075044 522
309 1075566 470
310 1076036 500
311 1076536 476
312 1077012 468
313 1077480 484
314 1077964 452
315 1078416 520
316 1078936 5311
317 1084247 1305
318 1085552 14597
319 1100149 1097
320 1101246 1318
321 1102564 5236
322 1107800 2503
323 1110303 3090
324 1113393 6875
325 1120268 6207
326 1126475 9205
327 1135680 11698
328 1147378 2074
329 1149452 6503
330 1155955 5818
331 1161773 10031
332 1171804 7709
333 1179513 190
334 1179703 226
335 1179929 251
336 1180180 178
337 1180358 212
338 1180570 190
339 1180760 235
340 1180995 5979
341 1186974 1224
